File,Type,Name,JavadocPresent
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/portal/util/PortalUtil.java",Class,PortalUtil,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/portal/util/PortalUtil.java",Method,isCurrentUserClientAdminOrUser,true
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/portal/Dashboard/DashboardExtension.java",Class,DashboardExtension,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/portal/Dashboard/DashboardExtension.java",Method,isClientPaysTheirOwnInvoices,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Class,ControlPanelExtension,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,addDocumentToCreate,true
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,trapException,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setResults,true
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setResults,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getUnescapedResults,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getBizletTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setBizletTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getCommandTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setCommandTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getContentTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setContentTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getDirtyTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setDirtyTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getFacesTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setFacesTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getHttpTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setHttpTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getQueryTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setQueryTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getSecurityTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setSecurityTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,getXmlTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelExtension.java",Method,setXmlTrace,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/GenerateTestDataJob.java",Class,GenerateTestDataJob,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/GenerateTestDataJob.java",Method,execute,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Class,ControlPanelBizlet,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Method,newInstance,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Method,getConstantDomainValues,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Method,getDynamicDomainValues,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Method,getVariantDomainValues,false
"/Users/benpetito/workspace/lawson-ap/src/main/java/modules/admin/ControlPanel/ControlPanelBizlet.java",Method,complete,false
